RA,DEC
23,-7
22,-7
21,-7
20,-7
19,-7
18,-7
17,-7
16,-7
15,-7
14,-7
13,-7
12,-7
11,-7
10,-7
9,-7
8,-7
7,-7
6,-7
5,-7
4,-7
3,-7
2,-7
1,-7
0,-7
0,-6
0,-5
0,-4
0,-3
0,-2
-1,-2
-2,-2
-3,-2
-4,-2
-5,-2
-6,-2
-7,-2
-8,-2
-9,-2
-10,-2
-11,-2
-12,-2
-13,-2
-14,-2
-15,-2
-16,-2
-17,-2
-18,-2
-19,-2
-20,-2
-21,-2
-22,-2
-23,-2
-24,-2
-25,-2
-26,-2
-27,-2
-28,-2
-29,-2
-30,-2
-31,-2
-32,-2
-33,-2
-34,-2
-35,-2
-36,-2
-37,-2
-38,-2
-39,-2
-40,-2
-41,-2
-42,-2
-43,-2
-43,-1
-43,0
-43,1
-43,2
-42,2
-41,2
-40,2
-39,2
-38,2
-37,2
-36,2
-35,2
-34,2
-33,2
-32,2
-31,2
-30,2
-29,2
-28,2
-27,2
-26,2
-25,2
-24,2
-23,2
-22,2
-21,2
-20,2
-19,2
-18,2
-17,2
-16,2
-15,2
-14,2
-13,2
-12,2
-11,2
-10,2
-9,2
-8,2
-7,2
-6,2
-5,2
-4,2
-3,2
-2,2
-1,2
0,2
0,2
0,3
0,4
0,5
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,5
45,5
45,5
45,4
45,3
45,2
45,1
45,0
45,-1
45,-2
45,-3
45,-4
45,-5
45,-6
45,-7
45,-8
45,-9
45.83584,-9.06842
46.36744,-9.14567
46.89697,-9.22888
47.42429,-9.3181
47.94928,-9.41337
48.47183,-9.51474
48.99181,-9.62226
49.50912,-9.73598
50.02364,-9.85594
50.53529,-9.98221
51.04396,-10.11482
51.54955,-10.25382
52.05199,-10.39926
52.55118,-10.55119
53.04706,-10.70965
53.53954,-10.87467
54.02856,-11.0463
54.51405,-11.22457
54.99596,-11.40952
55.47423,-11.60118
55.94881,-11.79957
56.41965,-12.00471
56.88672,-12.21663
57.34998,-12.43534
57.80939,-12.66086
58.26493,-12.89318
58.71657,-13.13232
59.16429,-13.37827
59.60807,-13.63102
60.0479,-13.89057
60.48377,-14.15689
60.91568,-14.42997
61.3436,-14.70979
61.76755,-14.99631
62.18753,-15.2895
62.60354,-15.58931
63.01557,-15.89572
63.42365,-16.20866
63.82778,-16.52808
64.22797,-16.85393
66,-18
67,-18
68,-18
69,-18
70,-18
71,-18
72,-18
73,-18
74,-18
75,-18
76,-18
77,-18
78,-18
79,-18
80,-18
81,-18
82,-18
83,-18
84,-18
85,-18
86,-18
86.66667,-19
87.33333,-20
88,-21
88.66667,-22
89.41596,-23.1317
89.68146,-24.3655
89.95879,-25.59111
90.24749,-26.80814
90.54705,-28.01619
90.8569,-29.21488
91.17643,-30.40381
91.50499,-31.58263
91.84185,-32.75095
92.18623,-33.90841
92.53729,-35.05464
92.89409,-36.18931
93.25565,-37.31205
93.62088,-38.42252
93.98862,-39.5204
94.35759,-40.60535
94.72643,-41.67704
95.09367,-42.73517
95.45771,-43.77942
95.81685,-44.80949
96.16922,-45.82508
96.51286,-46.8259
96.84562,-47.81168
97.16521,-48.78213
97.46918,-49.73698
97.75487,-50.67597
98.01948,-51.59884
98.25999,-52.50536
98.47317,-53.39526
98.65561,-54.26832
98.80364,-55.1243
98.91339,-55.96299
98.98075,-56.78417
99.00136,-57.58762
98.97062,-58.37314
98.88371,-59.14055
98.73552,-59.88964
98.52073,-60.62023
98.23379,-61.33214
98,-61.5
97,-61.5
96,-61.5
95,-61.5
94,-61.5
93,-61.5
92,-61.5
91,-61.5
90,-61.5
89,-61.5
88,-61.5
87,-61.5
86,-61.5
85,-61.5
84,-61.5
83,-62
78.66667,-63
74.33333,-64
69.1922,-65.62708
68.293,-65.99135
67.35218,-66.34555
66.36917,-66.68914
65.34355,-67.02152
64.27503,-67.3421
63.1635,-67.65026
62.00905,-67.9454
60.81197,-68.22686
59.5728,-68.49402
58.29235,-68.74623
56.97169,-68.98287
55.6122,-69.20331
54.21558,-69.40695
52.78381,-69.59321
51.31925,-69.76152
49.82454,-69.91137
48.30265,-70.04227
46.75683,-70.15381
45.19062,-70.2456
43.60779,-70.31734
42.0123,-70.36875
40.4083,-70.39968
38.8,-70.41
37.1917,-70.39968
35.5877,-70.36875
33.99221,-70.31734
32.40938,-70.2456
30.84317,-70.15381
29.29735,-70.04227
27.77546,-69.91137
26.28075,-69.76152
24.81619,-69.59321
23.38442,-69.40695
21.9878,-69.20331
20.62831,-68.98287
19.30765,-68.74623
18.0272,-68.49402
16.78803,-68.22686
15.59095,-67.9454
14.4365,-67.65026
13.32497,-67.3421
12.25645,-67.02152
11.23083,-66.68914
10.24782,-66.34555
9.307,-65.99135
8.4078,-65.62708
